County,Region,City,Reporting Year,APN,Prior APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Date Submitted,Very Low Income Deed  (Restricted) ,Very Low Income Non Deed  (Restricted) ,Low Income Deed (Restricted) ,Low Income Non Deed  (Restricted) ,Moderate Income Deed (Restricted) ,Moderate Income Non Deed  (Restricted) ,Above Moderate Income,Total Proposed Units,Approved Units,Denied Units,SB 35 Application Submitted?,Notes,match_score,y_lat,x_long,place_addr
ALAMEDA,CA,ALAMEDA,2020,73-421-22,,769 BUENA VISTA AVE APT A,,ADU20-0022,Accessory Dwelling Unit,Renter,6/24/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.777209196435265,-122.27348380620566,"769 Buena Vista Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-351-14,,1313 LINCOLN AVE APT E,,ADU20-0013,Accessory Dwelling Unit,Renter,5/7/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7747936053722,-122.26262131265509,"1313 Lincoln Ave, Apt E, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-133-9,,2846 ENCINAL AVE,,ADU20-0012,Accessory Dwelling Unit,Renter,5/6/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.75807488381098,-122.23694129928465,"2846 Encinal Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-1305-13,,512 CENTRAL AVE,,ADU20-0020,Accessory Dwelling Unit,Renter,6/22/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77151936023443,-122.28175671648681,"512 Central Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-420-36,,720 HAIGHT AVE,,ADU20-0014,Accessory Dwelling Unit,Renter,5/18/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.774161739801656,-122.27567104638356,"720 Haight Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-429-0,,633 HAIGHT AVE APT A,,ADU20-0015,Accessory Dwelling Unit,Renter,5/29/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.774292981418334,-122.27772935276127,"633 Haight Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-404-25,,808 TAYLOR AVE,,ADU20-0010,Accessory Dwelling Unit,Renter,4/8/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.772253824654456,-122.27250838445362,"808 Taylor Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-404-25,,1353 WEBER ST,,ADU20-0011,Accessory Dwelling Unit,Renter,4/30/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7703623788651,-122.2691367953578,"1353 Weber St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-232-38,,2126 BUENA VISTA AVE,,ADU20-0009,Accessory Dwelling Unit,Renter,5/14/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77085393865752,-122.24596549917655,"2126 Buena Vista Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,74-470-3,,1543 THIRD ST,,ADU19-0020,Accessory Dwelling Unit,Renter,5/23/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.77512951096428,-122.28807523884804,"1543 3rd St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,69-101-32,,2971 JOHNSON AVE,,ADU19-0009,Accessory Dwelling Unit,Renter,3/4/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.76132311992123,-122.23282254805626,"2971 Johnson Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-407-7,,839 LINCOLN AVE APT C,,ADU20-0006,Accessory Dwelling Unit,Renter,3/3/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77508333585304,-122.27096106994057,"839 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,69-109-62,,3218 MONTE VISTA AVE,,ADU19-0017,Accessory Dwelling Unit,Renter,4/22/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.76162196084008,-122.22731752313159,"3218 Monte Vista Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-071-2,,3206 ENCINAL AVE APT A,,ADU20-0007,Accessory Dwelling Unit,Renter,3/12/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.75601560753658,-122.2339673602631,"3206 Encinal Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-028-4,,1375 HANSEN AVE,,ADU20-0008,Accessory Dwelling Unit,Renter,3/12/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.755016369947164,-122.22854140414603,"1375 Hansen Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,70-167-26,,1712 EVERETTE ST,,ADU19-0015,Accessory Dwelling Unit,Renter,3/13/19,0,0,0,0,0,0,1,1,1,0,No,,97.06,37.767491665820394,-122.237540624185,"1712 Everett St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-905-12,,501 MOSLEY AVE,NORTH HOUSING,PLN20-0099,5 or More Units Per Structure,Renter,2/24/20,90,0,203,0,0,0,0,293,586,0,Yes-Approved,,100,37.787850000000006,-122.28416054091423,"501 Mosley Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,72-341-11,,1011 MORTON ST,,ADU19-0008,Accessory Dwelling Unit,Renter,3/20/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.76852183458364,-122.26231511091211,"1011 Morton St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-198-3,,2308 CLEMENT AVE,,ADU20-0005,Accessory Dwelling Unit,Renter,2/26/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77044442073994,-122.23973261977025,"2308 Clement Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,72-322-9,,1709 GRAND ST,,ADU19-0001,Accessory Dwelling Unit,Renter,2/20/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.773877252582274,-122.25456813393718,"1709 Grand St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-387-21,,1626 CHAPIN ST,,ADU20-0003,Accessory Dwelling Unit,Renter,2/12/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77525848471146,-122.26785178402294,"1626 Chapin St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,70-175-40,,1106 REGENT ST,,ADU20-0001,Accessory Dwelling Unit,Renter,2/10/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.75759566972085,-122.24507490340767,"1106 Regent St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-299-7,,1615 1/2 MINTURN ST,,ADU20-0004,Accessory Dwelling Unit,Renter,2/19/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77256507012272,-122.25438776540896,"1615 1/2 Minturn St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-378-5,,1825 BAY ST,,ADU20-0002,Accessory Dwelling Unit,Renter,2/10/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77762639800334,-122.26438365003736,"1825 Bay St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-047-16,,1415 SANTA CLARA AVE,,ADU20-0072,Accessory Dwelling Unit,Renter,12/8/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77290110326608,-122.26141302331352,"1415 Santa Clara Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-1342-185,,20 SATH CT,,ADU20-0073,Accessory Dwelling Unit,Renter,12/9/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.73503828340054,-122.25022130420282,"20 Sath Ct, Alameda, California, 94502"
ALAMEDA,CA,ALAMEDA,2020,74-429-29,,620 LINCOLN AVE,,ADU20-0070,Accessory Dwelling Unit,Renter,12/7/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.775216212303214,-122.27847945920134,"620 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-383-8,,1813 SAINT CHARLES ST,,ADU20-0071,Accessory Dwelling Unit,Renter,12/8/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.777368782128214,-122.26578134765403,"1813 Saint Charles St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,70-149-11,,1123 VESAILLES AVE,,ADU19-0039,Accessory Dwelling Unit,Renter,12/3/19,0,0,0,0,0,0,1,1,1,0,No,,97.93,37.75722737858496,-122.24011888594255,"1123 Versailles Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,74-1037-6,,229 BEACH RD,,ADU20-0069,Accessory Dwelling Unit,Renter,12/7/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7351289427331,-122.233966498533,"229 Beach Rd, Alameda, California, 94502"
ALAMEDA,CA,ALAMEDA,2019,74-1366-3,,2800 FIFTH ST,ALAMEDA LANEDING WATERFRONT RESIDENTIAL,PLN19-0368,5 or More Units Per Structure,Owner,12/9/19,15,0,12,0,21,0,309,357,357,0,No,,100,37.681510496365,-121.7624975895583,"2800 Fifth St, Livermore, California, 94550"
