County,Region,City,Reporting Year,APN,Prior APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Date Submitted,Very Low Income Deed  (Restricted) ,Very Low Income Non Deed  (Restricted) ,Low Income Deed (Restricted) ,Low Income Non Deed  (Restricted) ,Moderate Income Deed (Restricted) ,Moderate Income Non Deed  (Restricted) ,Above Moderate Income,Total Proposed Units,Approved Units,Denied Units,SB 35 Application Submitted?,Notes,match_score,y_lat,x_long,place_addr
ALAMEDA,CA,ALAMEDA,2020,70-147-41,,1130 BROADWAY,,ADU20-0063,Accessory Dwelling Unit,Renter,10/20/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.75740048618468,-122.24324867263162,"1130 Broadway, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-273-6,,1821 SAN JOSE AVE,,ADU20-0060,Accessory Dwelling Unit,Renter,10/15/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76580487080296,-122.25673058959566,"1821 San Jose Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-303-10,,1718 CENTRAL AVE,,ADU20-0061,Accessory Dwelling Unit,Renter,10/21/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76997745280497,-122.25624267107625,"1718 Central Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-307-5,,1722 SAN JOSE AVE,,ADU20-0059,Accessory Dwelling Unit,Renter,10/15/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76642948791056,-122.25842066417562,"1722 San Jose Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,69-130-156,,2921 FERNSIDE BLVD,,ADU19-0038,Accessory Dwelling Unit,Renter,10/15/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.765735898436034,-122.22970520162741,"2921 Fernside Blvd, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,71-223-1,,1847 ELM ST,,ADU19-0037,Accessory Dwelling Unit,Renter,10/15/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.7709233982918,-122.24242541592118,"1847 Elm St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-393-54,,1026 FAIR OAKS AVE,,ADU20-0056,Accessory Dwelling Unit,Renter,10/14/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77031108644992,-122.2675364527557,"1026 Fair Oaks Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,71-288-3,,1815 CLEMENT AVE,ALAMEDA MARINA THE LAUNCH,PLN19-0270,5 or More Units Per Structure,Renter,10/14/19,16,0,12,0,21,0,308,357,357,0,No,,100,37.775484755322644,-122.25121458387729,"1815 Clement Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-414-18,,1612 CONCORDIA ST APT B,,ADU20-0058,Accessory Dwelling Unit,Renter,10/14/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7756584365803,-122.27544638161471,"1612 Concordia St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-414-18,,1612 CONCORDIA ST,,ADU20-0057,Accessory Dwelling Unit,Renter,10/14/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7756584365803,-122.27544638161471,"1612 Concordia St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2018,74-905-10-4,,201 SINGLETON AVE,NORTH HOUSING,,5 or More Units Per Structure,Owner,10/10/18,0,0,0,0,0,0,150,150,150,0,No,,100,37.78692773440464,-122.28600697960067,"201 Singleton Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-396-43,,1304 NINTH ST,,ADU20-0055,Accessory Dwelling Unit,Renter,10/12/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77054137607479,-122.27056459489887,"1304 9th St, Alameda, California, 94501"
